● あいじょう[愛情] 	[명사]애정;사랑
● あらためる[改める] 	[동사]고치다;변경하다, 조사하다;검사하다
● あらゆる[有らゆる] 	[형용동사]모든;일체의;온갖
● あらわす[現(わ)す] 	[동사]드러내다, 나타내다
● あらわす[著(わ)す] 	[동사]저술하다
● あらわれ[現(わ)れ] 	[명사]표현;발로, 결과
● ありがとう[有り難う] 	[감동사]고맙다;고마워;고맙소
● ある[ある·在る] 	[동사]있다, 존재하다, 살아 있다
● ある[或(る)] 		[형용동사]어떤;어느
● あるいは[或いは] 	[기타]혹은;또는, 혹은 … 혹은 …
● あれる[荒れる] 	[동사]거칠어지다, 난폭히 굴다;날뛰다
● あわただしい[慌ただしい] 	[형용사]어수선하다;총망하다;분주하다
● あわれ[あわれ·哀れ] 	[명사]불쌍함;가련함
● あん[案] 		[명사]안, 예상;생각
● あんてい[安定] 	[명사]안정
● あんまり[余り] 	[부사]너무;지나치게, 과히;그다지
● い[胃] 		[명사]위
● いいつける[言いつける] 	[동사]분부하다;명령하다, 고자질하다
● いいん[委員] 		[명사]위원
● いえ[否] 		[감동사]아뇨
● いがい[意外] 		[형용동사]의외
● いき[息] 		[명사]숨, 호흡, 호흡하는 공기
● いくぶん[幾分] 	[명사]일부분, 어느 정도;얼마
● いけない 		[명사]좋지 않다;나쁘다, 바람직하지 않다
● いけばな[生(け)花] 	[명사]꽃꽂이;또, 꽃꽂이한 꽃
● いこう[以降] 		[명사]이강;이후
● いし[意志·意思] 	[명사]의지;의사;뜻
● いし[意思] 		[명사]의사
● いじ[維持] 		[명사]유지
● いしき[意識] 		[명사]의식
● いじょう[異常] 	[명사]이상
● いずみ[泉] 		[명사]샘;샘물, 원천
● いずれ[何れ·孰れ] 	[대명사]부정칭의 지시 대명사, 어느
● いだい[偉大] 		[형용동사]위대
● いだく[抱く] 		[동사]안다;보듬다
● いたずら[悪戯] 	[형용동사]장난;못된 장난
● いたる[至る] 		[동사]이르다, 도달하다, 닥치다;찾아 오다
● いち[位地] 		[명사]지위;계급
● いち[位置]	 	[명사]위치
● いちおう[いちおう·一応·一往] 	[부사]우선;어떻든, 좀더
● いちりゅう[一流] 	[명사]일류;제1급, 한 유파, 독특한 격식...
● いっか[一家] 	[명사]일가, 한 세대;한 가족, 한 집
● いっしゅ[一種] 	[명사]일종, 조금;뭔가
● いっしゅん[一瞬] 	[명사]일순;그 순간;일순간
● いっそう[一層] 	[부사]한층 더;더욱더
● いったん[一旦] 	[부사]일단, 한때;잠시
● いっち[一致] 		[명사]일치
● いってい[一定] 	[명사]일정
● いっぱん[一般] 	[명사]일반, 같음;매일반임
● いっぽう[一方] 	[명사]일방, 한 방면;한 방향, 한쪽;한편
● いてん[移転] 		[명사]이전, 이사, 권리의 양도
● いど[井戸]	 	[명사]우물
● いど[緯度]	 	[명사]위도
● いどう[移動] 		[명사]이동
● いね[稲] 		[명사]벼;→おかぼ
● いばる[威張る] 	[동사]뽐내다;거만하게 굴다;으스대다
● いふく[衣服] 		[명사]의복;옷
● いまに[今に] 		[부사]곧;조만간, 머지않아;언젠가
● いや[否] 		[감동사]싫어, 아냐;아니오
● いよいよ[愈·愈愈·弥弥] 	[부사]점점;더욱더, 드디어;결국
● いらい[以来] 		[명사]이래;이후, 금후;앞으로
● いらっしゃい 		[명사]‘いらっしゃる’의 명령형
● いる[煎る·炒る·熬る] 	[동사]볶다, 지지다
● いれもの[入(れ)物] 	[명사]용기;그릇
● いわい[祝(い)] 	[명사]축하;축하 행사;또, 축하 선물
● いわば[言わば·謂わば] 	[부사]말하자면;비유해서 말한다면
● いわゆる[所謂] 	[형용동사]소위;이른바
● インキ 		[명사]잉크
● いんさつ[印刷] 	[명사]인쇄
● いんたい[引退] 	[명사]은퇴;일선에서 물러남
● いんよう[引用] 	[명사]인용
● いんりょく[引力] 	[명사]인력
● ウイスキー 	[명사]위스키
● ウーマン 	[명사]우먼;여자
● ウール 	[명사]울, 양털, 털실
● ウエートレス 	[명사]웨이트리스;여급
● うえき[植木] 	[명사]정원수, 분재
● うえる[飢える] 	[동사]굶주리다
● うお[魚] 		[명사]물고기
● うかぶ[浮(か)ぶ] 	[동사]뜨다, 괴로운 처지를 벗어나다
● うけたまわる[承る] 	[동사]‘聞く’의 겸사말;삼가 듣다
● うけとり[受(け)取り] 	[명사]수취함;받음, 영수증
● うしなう[失う] 	[동사]잃다, 잃어버리다, 죽이다
● うすめる[薄める] 	[동사]엷게 하다
● うたがう[疑う] 	[동사]의심하다, 혐의를 두다
● うちあわせ[打ち合(わ)せ·打合せ]   [명사]타합;협의, 의복의 앞길이 겹치는 부분
● うちけす[打(ち)消す] 	[동사]부정하다, 없애다;지우다
● うつ[討つ] 		[동사]베어 죽이다, 토벌하다;공멸하다
● うつ[撃つ]	 	[동사]공격하다, 총포를 쏘다
● うったえる[訴える] 	[동사]소송하다;고소하다, 호소하다;작용하다
● うどん[饂飩] 		[명사]가락국수;우동
● うなずく[頷く·肯く·首肯く·項突く] 	[동사]수긍하다;끄덕이다
● うなる[唸る] 		[동사]웅웅 소리를 내다;또, 그런 소리가 ...
● うばう[奪う] 		[동사]빼앗다, 빼앗아 가다, 사로잡다;끌다
● うまい[上手い·巧い] 	[형용사]솜씨가 뛰어나다;좋다;잘하다
● うむ[有無]	 	[명사]유무
● うやまう[敬う] 	[동사]존경하다;숭상하다
● うらがえす[裏返す] 	[동사]뒤집다
● うらぎる[裏切る] 	[동사]배반하다;적과 내통하다, 어긋나다
● うらぐち[裏口] 	[명사]뒷문, 뒤쪽의 등산길 입구, 뒷구멍
● うらなう[占う] 	[동사]점치다
● うらみ[恨み] 	[명사]원한;앙심
● うらむ[恨む] 	[동사]원망하다;분하게 여기다, 원한을 풀다
● うらやむ[羨む] 	[동사]부러워하다;샘하다;선망하다
● うりきれる[売(り)切れる] 	[동사]다 팔리다;매진되다
● うる[得る] 		[동사]→える, … 수 있다
● うれゆき[売(れ)行き] 	[명사]팔리는 상태;팔림새
● うんと 		[부사]매우;썩;아주
● え 		[감동사]네;예, 어
● えいきゅう[永久] 	[명사]영구
● えいきょう[影響] 	[명사]영향
● えいせい[衛星] 	[명사]위성
● えいわ[英和] 	[명사]영일;영어와 일본어, ‘英和辞典’
● ええと 		[감동사]저어;거시기
● えきたい[液体] 	[명사]액체
● えさ[餌] 		[명사]모이;먹이, 미끼, 사람의 양식
● エチケット	 	[명사]에티켓;예절;예의범절
● えのぐ[絵の具] 	[명사]그림물감;채료
● エプロン 		[명사]에이프런, 앞치마
● えらい[偉い] 	[형용사]훌륭하다;비범하다
● えん[園] 		[명사]원
● えんき[延期] 		[명사]연기
● えんぎ[演技] 		[명사]연기, 겉으로 꾸민 짓
● えんげい[園芸] 	[명사]원예
● えんしゅう[円周] 	[명사]원주;원둘레
● えんじょ[援助] 	[명사]원조
● えんじる[演じる] 	[동사]→えんずる
● えんぜつ[演説] 	[명사]연설
● えんちょう[延長] 	[명사]연장
● えんとつ[煙突] 	[명사]굴뚝
● おいかける[追いかける] 		[동사]뒤쫓아 가다
● おいつく[追いつく·追(い)付く] 	[동사]따라붙다, 따라잡다, 달하다
● オイル 	[명사]오일, 기름, 식용유
● おう[王] 	[명사]왕, 임금;군주, 親王가 아닌 황족
● おうえん[応援] 	[명사]응원
● おうじょ[王女] 	[명사]왕녀;공주, 왕의 딸, 황족의 여자
● おうじる[応じる] 	[동사]→おうずる
● おうずる[応ずる] 	[동사]응하다, 답하다, 받아들이다;승낙하다
● おうせつ[応接] 	[명사]응접;접대, 면회
● おうたい[応対] 	[명사]응대;응접
● おうべい[欧米] 	[명사]구미;유럽과 미국
● おうよう[応用] 	[명사]응용
● おお	 	[감동사]야;어, 응
● おおう[覆う] 		[동사]덮다, 씌우다, 가리다;막다
● おおげさ[おおげさ·大げさ]    [형용동사]과장;허풍을 떪, 대규모
● オーケストラ 	[명사]오케스트라, 관현악, 관현악단
● オーバー 	[명사]오버, 초과함, 과장됨;지나침
● おおよそ[大凡] 	[명사]대강;대략, 보통;세상 일반
● おか[丘] 	[명사]언덕;작은 산;구릉
● おかす[侵す]     [동사]침범하다, 침해하다
● おかず[御数·御菜] 	[명사]반찬;부식
● おがむ[拝む] 	[동사]공손히 절하다;배례하다
● おかわり[お代(わ)り] 	[명사]같은 음식을 다시 더 먹음
● おき[沖] 	[명사]난바다;물가에서 멀리 떨어진 바다 위...
● おぎなう[補う] 	[동사]보충하다, 변상하다;보상하다
● おくりがな[送(り)仮名] 	[명사]한자로 된 말을 분명히 읽기 위하여 ...
● おくる[贈る] 	[동사]보내다, 주다;선사하다, 상대에게 칭...
● おさめる[収める] 	[동사]거두다, 얻다;손에 넣다, 성과를 올...
● おさめる[納める] 	[동사]바치다;납입하다, 거두다, 받아들이다
● おさめる[治める] 	[동사]다스리다, 지배하다;통치하다, 고치다...
● おしい[惜しい] 	[형용사]아깝다, 섭섭하다;애석하다, 분하다
● おじぎ[御辞儀] 	[명사]절함;인사함, 사퇴;사양
● おしゃべり[お喋り] 	[명사]지껄임;수다스러움, 잡담
● おせん[汚染] 	[명사]오염
● おそらく[恐らく] 	[부사]아마;어쩌면;필시
● おそれ[恐れ] 	[명사]두려움, 두려워하는 마음
● おそれる[恐れる] 	[동사]두려워하다, 겁내다;무서워하다
● おだやか[穏やか] 	[형용동사]온화함, 평온함;온건함
● おてつだいさん[お手伝いさん] 	[명사]가정부;‘女中’의 고친 이름
● おどかす[脅かす] 	[동사]으르다;위협하다, 깜짝 놀라게 하다
● おとる[劣る] 	[동사]차하지다;못하다;뒤떨어지다
● おに[鬼] 	[명사]귀신, 상상의 괴물
● おのおの[おのおの·各] 	[대명사]각각;각기, 여러분;제군
● おはよう[おはよう·お早う] 	[감동사]안녕;잘 잤니
● おび[帯] 	[명사]띠, ‘帯紙·帯番組’의 준말
● おびやかす[脅かす] 	[동사]위협하다;위태롭게 하다
● おひる[お昼] 	[명사]낮, 점심
● おぼれる[溺れる] 	[동사]빠지다, 물에 빠지다, 탐닉하다
● おまいり[お参り] 	[명사]신불을 참배하러 감;참배함
● おまえ[お前] 	[대명사]너;자네
● おまけ[お負け] 	[명사]값을 깎음, 덤;경품
● おまちどおさま[お待(ち)遠様] 	[감동사]오래 기다리셨습니다
● おめでたい[御目出度い·御芽出度い] 	[형용사]경사스럽다, 호인이다;모자라다, 지...
● おめでとう[御目出度う·御芽出度う] 	[감동사]축하합니다
● おもいがけない[思いがけない] 	[형용사]의외이다;생각해 본 일도 없다;뜻밖...
● おもいきり[思い切り] 	[명사]체념;단념, 마음껏;실컷
● おもに[主に] 	[부사]주로;대부분
● おや[親] 	[명사]어버이;부모, 선조;원조, 사물의 근...
● おやすみ[お休み] 	[명사]‘寝る’ ‘休む’의 공손한 말씨, 잘...
● おやつ[お八つ·御八つ] 	[명사]오후의 간식
● およぎ[泳ぎ] 	[명사]수영;헤엄, 처세;세상살이
● およぼす[及ぼす] 	[동사]미치게 하다
● オルガン 	[명사]오르간;풍금
● おろす[卸す] 	[동사]도매하다, 강판에 갈다
● おん[恩] 	[명사]은혜
● おん[音] 	[명사]음;소리, 음색, 자음
● おんけい[恩恵] 	[명사]은혜
● おんたい[温帯] 	[명사]온대
● おんだん[温暖] 	[형용동사]온난
● おんちゅう[御中] 	[명사]귀중;→さま
● か[可] 	[명사]가, 좋음;또, 좋다고 평가함
● か[蚊] 	[명사]모기
● か[科] 	[명사]과, 교육·학문 등 분야 등을 나타내...
● か[課] 	[명사]과, 관청·회사 등의 사무 조직상 소...
● カー 	[명사]카;차;특히, 승용차
● かい[貝] 	[명사]조개, 조가비, 소라
● がい[害] 	[명사]해, 방해;지장
● かいかい[開会] 	[명사]개회
● かいけい[会計] 	[명사]회계
● かいけん[会見] 	[명사]회견
● がいこう[外交] 	[명사]외교
● かいさい[開催] 	[명사]개최
● かいさつ[改札] 	[명사]개찰
● かいさん[解散] 	[명사]해산
● かいし[開始] 	[명사]개시;시작
● かいしゃく[解釈] 	[명사]해석
● かいすう[回数] 	[명사]횟수
● かいせい[快晴] 	[명사]쾌청
● かいせい[改正] 	[명사]개정
● かいぜん[改善] 	[명사]개선
● かいぞう[改造] 	[명사]개조
● かいつう[開通] 	[명사]개통
● かいてき[快適] 	[명사]쾌적
● かいてん[回転] 	[명사]회전
● かいとう[回答] 	[명사]회답
● かいとう[解答] 	[명사]해답
● かいふく[回復] 	[명사]회복
● かいほう[解放] 	[명사]해방
● かいほう[開放] 	[명사]개방
● かいよう[海洋] 	[명사]해양
● がいろん[概論] 	[명사]개론
● かえす[帰す] 	[동사]돌려보내다;돌아가게 하다
● かえって[却って·返って·反って·却而] 	[부사]도리어;오히려;반대로
● かえる[反る] 	[동사]뒤집히다;젖혀지다;거꾸로 되다
● かえる[代える] 	[동사]대신하다;대리케 하다
● かえる[替える·換える] 	[동사]바꾸다;교환하다, 갈다
● かおく[家屋] 	[명사]가옥
● かおつき[顔付き] 	[명사]얼굴 생김새;용모, 표정;얼굴
● かおり[薫り·香り] 	[명사]향기;좋은 냄새
● かかえる[抱える] 	[동사]안다, 팔에 안다;부둥켜 들다, 끼다
● かかわる[係わる] 	[동사]관계되다;관계가 있다, 구애되다
● かきね[垣根] 	[명사]울타리, 담 밑, 격의;장벽
● かぎり[限り] 	[명사]한, 끝;한계, 한도;…껏
● かぎる[限る] 	[동사]경계·범위를 짓다, 제한하다;한하다,...
● かく[搔く] 	[동사]긁다;할퀴다, 깎다, 파헤치다
● かく[描く·画く] 	[동사]그리다
● かぐ[嗅ぐ] 	[동사]냄새 맡다, 탐지하다
● がく[学] 	[명사]학문;학술;지식
● かくう[架空] 	[명사]가공, 공중에 걸침, 상상으로 만듦
● かくじ[各自] 	[명사]각자
● かくじつ[確実] 	[형용동사]확실
● かくじゅう[拡充] 	[명사]확충
● がくじゅつ[学術] 	[명사]학술
● かくち[各地] 	[명사]각지
● かくちょう[拡張] 	[명사]확장
● かくど[角度] 	[명사]각도
● がくねん[学年] 	[명사]학년
● かくほ[確保] 	[명사]확보
● かげ[影] 	[명사]그림자, 자취;형적, 환영;곡두
● かげ[陰] 	[명사]그늘, 햇볕·불빛에 가려진 곳, 음영
● かけつ[可決] 	[명사]가결
● かける[欠ける] 	[동사]이지러지다, 귀떨어지다;흠지다, 이울...
● かげん[加減] 	[명사]가감;더하기와 빼기
● かこ[過去] 	[명사]과거
● かご[籠] 	[명사]바구니
● かこう[下降] 	[명사]하강;내려옴
● かこう[加工] 	[명사]가공
● かこう[火口] 	[명사]화구, 화산의 분화구, 아궁이
● かざん[火山] 	[명사]화산
● かし[貸し] 	[명사]꾸어 줌;빌려 줌, 베푼 은혜·이익,...
● かし[菓子] 	[명사]과자
● かじ[家事] 	[명사]가사;집안 일;가정 사정
● かしつ[過失] 	[명사]과실
● かじつ[果実] 	[명사]과실;열매;과일
● かしま[貸間] 	[명사]셋방
● かしや[貸家] 	[명사]셋집
● かしょ[箇所] 	[명사]개소;장소
● かじょう[過剰] 	[형용동사]과잉
● かじる[齧る] 	[동사]갉다;베어 먹다, 그저 조금 알다
● かず[数] 	[명사]수, 여러 가지;수가 많음, 특별히 ...
● かぜい[課税] 	[명사]과세;세금을 부과함;또, 그 부과된 ...
● カセット 	[명사]카세트
● かせん[下線] 	[명사]밑줄
● かそく[加速] 	[명사]가속
● かた[型] 	[명사]본;골, 형, 무도·예도 또는 운동 ...
● かた[方·片] 	[명사]결말;처리
● かたい[硬い] 	[형용사]딱딱하다, 단단하다, 생경하다
● かたな[刀] 	[명사]외날의 칼, 큰 칼;검, 도검류의 총...
● かたまり[固まり·塊(り)] 	[명사]덩어리, 뭉치, 어떤 경향이 극단적으...
● かたまる[固まる] 	[동사]굳다, 딱딱해지다;엉기어 붙다
● かたむく[傾く] 	[동사]기울다, 한쪽으로 쏠리다
● かたよる[片寄る·偏る] 	[동사]치우치다, 기울다;전체의 균형을 잃다
● かたる[語る] 	[동사]말하다;이야기하다
● がっか[学科] 	[명사]학과
● がっかい[学会] 	[명사]학회
● がっき[学期] 	[명사]학기
● がっきゅう[学級] 	[명사]학급;반
● かつぐ[担ぐ] 	[동사]메다;짊어지다, 받들다;추대하다, 속...
● かっこ[かっこ·括弧] 	[명사]괄호
● かつじ[活字] 	[명사]활자
● かって[勝手] 	[명사]시먹음;제멋대로 함
● かつやく[活躍] 	[명사]활약
● かつよう[活用] 	[명사]활용, 용언·조동사의 어미 변화
● かつりょく[活力] 	[명사]활력
● かてい[仮定] 	[명사]가정
● かてい[課程] 	[명사]과정
● かてい[過程] 	[명사]과정
● かな[仮名] 	[명사]한자의 일부를 따서 만든 일본 특유의...
● かなう[叶う] 	[동사]희망대로 되다;이루어지다;할 수 있다
● かね[鐘] 	[명사]종, 종소리
● かねつ[加熱] 	[명사]가열
● かねる[兼ねる] 	[동사]겸하다, 그렇게 하기 어렵다
● かのう[可能] 	[형용동사]가능
● かはんすう[過半数] 	[명사]과반수
● かび[黴] 	[명사]곰팡이
● かぶ[株] 	[명사]그루터기, 그루;포기, 주
● かぶせる[被せる] 	[동사]덮다;씌우다, 끼얹다, 넘겨 씌우다;...
● かま[釜] 	[명사]솥;가마
● かまう[かまう·構う] 	[동사]관계하다, 상대하다;염려하다, 추방형...
● がまん[我慢] 	[명사]참음;자제, 용서함;봐 줌, 아만;자...
● かみ[上] 	[명사]위, 위쪽, 상류
● かみくず[紙くず] 	[명사]종이 나부랑이;휴지
● かみさま[神様] 	[명사]신의 높임말, 아주 뛰어난 사람;귀신
● かみそり[剃刀] 	[명사]면도칼
● かみなり[雷] 	[명사]천둥;우레, 벼락, 뇌신
● かみのけ[髪の毛] 	[명사]머리털;머리카락
● ガム 	[명사]‘チューインガム’의 준말
● かもしれない[かも知れない] 	[명사]…ㄹ지도 모른다
● かもつ[貨物] 	[명사]화물, 물품, ‘貨物列車’의 준말
● かよう[歌謡] 	[명사]가요
● かよう[火曜] 	[명사]화요
● から[殻] 	[명사]껍질;껍데기, 허물;외피, 두부찌꺼기
● がら[がら·柄] 	[명사]몸집;체격, 분수;격, 성질·상태를 ...
● からかう[揶揄う] 	[동사]조롱하다;놀리다
● かる[刈る] 	[동사]베다, 깎다
● かわ[皮] 	[명사]껍질;가죽, 털가죽, 표면;겉면
● かわ[革] 	[명사]가죽
● かわいがる[可愛がる] 	[동사]귀여워하다;애지중지하다
● かわく[渇く] 	[동사]목이 마르다;물이 마르다, 몹시 바라...
● かわせ[為替] 	[명사]환, ‘為替手形’의 준말, ‘為替相場...
● かわら[瓦] 	[명사]기와, 무가치한 것의 비유
● かわる[代(わ)る] 	[동사]대리하다;대표하다
● かん[刊] 	[명사]간;간행;출판
● かん[巻] 	[명사]두루마리, 책;서적, 권;책 따위를 ...
● かん[感] 	[명사]감;느낌, …감;…느낌
● かん[間] 	[명사]간;틈, 스파이;첩자
● かん[館] 	[명사]관, 건물, 여관;여인숙
● がん[癌] 	[명사]암
● かんき[換気] 	[명사]환기
● かんきゃく[観客·看客] 	[명사]관객
● かんげい[歓迎] 	[명사]환영
● かんげき[感激] 	[명사]감격
● かんさい[関西] 	[명사]옛날에, 逢坂関 서쪽 지방의 일컬음,...
● かんさつ[観察] 	[명사]관찰
● かんし[監視] 	[명사]감시
● がんじつ[元日] 	[명사]원일;설날;1월 1일
● かんしょう[鑑賞] 	[명사]감상
● かんする[関する] 	[동사]관계하다, …에 관계가 있다;…을 대...
● かんずる[感ずる] 	[동사]느끼다, 감동하다, 반응하다
● かんそう[乾燥] 	[명사]건조
● かんそく[観測] 	[명사]관측
● かんたい[寒帯] 	[명사]한대
● かんちがい[勘違い] 	[명사]착각;잘못 생각함
● かんちょう[官庁] 	[명사]관청
● かんづめ[缶詰(め)] 	[명사]통조림, 협소한 장소에 사람을 가두...
● かんでんち[乾電池] 	[명사]건전지
● かんとう[関東] 	[명사]鈴鹿·不破·愛発의 세 옛 관문으로부터...
● かんとく[監督] 	[명사]감독
● かんねん[観念] 	[명사]각오;단념, 관념
● かんばん[看板] 	[명사]간판, 상호·옥호 등을 내다는 것;
● かんびょう[看病] 	[명사]간병;병구완;간호
● かんむり[冠] 	[명사]관, 성이 나 있다;기분이 언짢다, ...
● かんり[管理] 	[명사]관리
● かんれん[関連] 	[명사]관련
● かんわ[漢和] 	[명사]한화, 중국어와 일본어, ‘漢和辞典’...
● き[器] 	[명사]→うつわ, 기;간단한 도구
● き[機] 	[명사]시기;기회, 기계, …기
● き[期] 	[명사]때;기회, …기, 일정한 시기;기간
● きあつ[気圧] 	[명사]기압;대기의 압력
● きいろ[黄色] 	[형용동사]황색;노랑
● ぎいん[議員] 	[명사]의원
● きおく[記憶] 	[명사]기억
● ぎかい[議会] 	[명사]의회
● きがえ[着替え] 	[명사]옷을 갈아입음;또, 갈아입을 옷
● きかん[機関] 	[명사]기관
● きき[危機] 	[명사]위기
● きぎょう[企業] 	[명사]기업
● ききん[飢饉·饑饉] 	[명사]기근
● きぐ[器具] 	[명사]기구
● きげん[期限] 	[명사]기한
● きげん[機嫌] 	[명사]기분;비위, 기분이 좋음, 남의 안부
● きこう[気候] 	[명사]기후
● きごう[記号] 	[명사]기호
● きし[岸] 	[명사]물가, 벼랑;낭떠러지
● きじ[生地] 	[명사]본연 그대로의 성질;본바탕, 옷감;천...
● ぎし[技師] 	[명사]기사
● ぎしき[儀式] 	[명사]의식
● きじゅん[基準] 	[명사]기준
● きじゅん[規準] 	[명사]규준, 규범이 되는 표준, 범례나 규...
● きしょう[起床] 	[명사]기상
● きせい[規制] 	[명사]규제
● きせる[着せる] 	[동사]입히다, 입히다;→きる, 싸다;도금하...
● きそ[基礎] 	[명사]기초
● きち[基地] 	[명사]기지
● きちょう[貴重] 	[형용동사]귀중
● ぎちょう[議長] 	[명사]의장
● きっかけ[切っ掛け] 	[명사]시작;시초, 동기;계기, 표지;부호
● きっぱり 	[부사]딱 잘라;단호히
● きのう[機能] 	[명사]기능
● きのどく[気の毒] 	[형용동사]딱함;가엾음, 미안스러움, 멋쩍음
● きばん[基盤] 	[명사]기반
● きふ[寄付·寄附] 	[명사]기부
● きぼ[規模] 	[명사]규모, 올바른 예;본보기
● きほん[基本] 	[명사]기본
● きみ[気味] 	[명사]기미;경향, 기분, 풍미;재미
● きみょう[奇妙] 	[형용동사]기묘;이상
● ぎむ[義務] 	[명사]의무
● きゃくせき[客席] 	[명사]객석
● きゃくま[客間] 	[명사]응접실;객실
● キャプテン 	[명사]캡틴;한 조직이나 단체의 장
● ギャング 	[명사]갱;권총 따위를 가진 강도
● きゅう[球] 	[명사]둥근 물체;공, 구, …구
● きゅう[級] 	[명사]급;등급, …급, 어떤 규정에 정해진...
● きゅう[旧] 	[명사]그전의 상태;본디 상태, ‘旧暦’의 ...
● きゅうげき[急激·急劇] 	[형용동사]급격
● きゅうこう[休講] 	[명사]휴강
● きゅうしゅう[吸収] 	[명사]흡수
● きゅうじょ[救助] 	[명사]구조
● きゅうそく[休息] 	[명사]휴식, 잠깐 쉼, 중지함;중단함
● きよい[清い] 	[형용사]맑다, 깨끗하다;청렴결백하다, 몽땅...
● きよう[器用] 	[형용동사]재주가 있음, 약삭빠르게 처신함;...
● ぎょう[業] 	[명사]업, 학문;공부, 일;근무
● きょうかい[境界] 	[명사]경계
● きょうぎ[競技] 	[명사]경기
● ぎょうぎ[行儀] 	[명사]예의범절;예절, 순서
● きょうきゅう[供給] 	[명사]공급
● きょうさん[共産] 	[명사]공산, 재산을 공동으로 소유함, ‘共...
● きょうしゅく[恐縮] 	[명사]공축;남의 후의나, 남에게 끼친 폐에...
● きょうちょう[協調] 	[명사]협조
● きょうどう[共同] 	[명사]공동
● きょうふ[恐怖] 	[명사]공포
● きょうよう[教養] 	[명사]교양
● きょうりょく[強力] 	[명사]강력, 폭력
● ぎょうれつ[行列] 	[명사]행렬, 숫자나 문자를 직사각형이나 정...
● ぎょぎょう[漁業] 	[명사]어업
● きょく[局] 	[명사]국, 관청·회사 등의 사무를 분담하고...
● きょくせん[曲線] 	[명사]곡선
● きょだい[巨大] 	[형용동사]거대
● きらう[嫌う] 	[동사]싫어하다, 좋아하지 않다;미워하다, ...
● きり[霧] 	[명사]안개, 안개같이 내뿜는 물이나 액체
● きりつ[規律·紀律] 	[명사]규율;기율;전하여, 질서
● きれ[切れ] 	[명사]자른 결과 생긴 작은 물건, 조각;토...
● きれる[切れる] 	[동사]끊어지다;잘라 지다, 무너지다;터지다...
● ぎろん[議論] 	[명사]의론
● ぎん[銀] 	[명사]은, ‘銀賞’ ‘銀メダル’의 준말, ...
● きんがく[金額] 	[명사]금액
● きんこ[金庫] 	[명사]금고
● きんじる[禁じる] 	[동사]→きんずる
● きんせん[金銭] 	[명사]금전;돈;화폐
